1.GeneID,transcript_name,gene_ids,genes_names
ENSMUST00000066532.4,Lipg-201,ENSMUSG00000053846,Lipg
ENSMUST00000124331.7,Gm45902-201,ENSMUSG00000051396,Gm45902
ENSMUST00000180288.1,H2bc24-202,ENSMUSG00000069303,Hist1h2br
ENSMUST00000085425.5,Isg15-201,ENSMUSG00000035692,Isg15
ENSMUST00000186885.1,Gm28187-201,ENSMUSG00000099375,Gm28187
ENSMUST00000081435.4,H2-Q4-201,ENSMUSG00000035929,H2-Q4
ENSMUST00000044143.5,Rln1-201,ENSMUSG00000039097,Rln1
ENSMUST00000020220.14,Nuak1-201,ENSMUSG00000020032,Nuak1
ENSMUST00000105866.2,Aunip-201,ENSMUSG00000078521,Aunip
ENSMUST00000079611.12,Frg2f1-201,ENSMUSG00000087385,Frg2f1
ENSMUST00000108817.4,H2aw-201,ENSMUSG00000078851,Hist3h2a
ENSMUST00000197569.1,C130013H08Rik-201,ENSMUSG00000105509,C130013H08Rik
ENSMUST00000036991.4,Hspb8-201,ENSMUSG00000041548,Hspb8
ENSMUST00000209765.1,Brd3os-202,ENSMUSG00000109946,Brd3os
ENSMUST00000041240.3,Shisa4-201,ENSMUSG00000041889,Shisa4
ENSMUST00000195470.1,Gm37924-201,ENSMUSG00000102482,Gm37924
ENSMUST00000025078.9,Map3k8-201,ENSMUSG00000024235,Map3k8
ENSMUST00000029416.13,Ccnl1-201,ENSMUSG00000027829,Ccnl1
ENSMUST00000203332.1,9530062K07Rik-201,ENSMUSG00000108030,9530062K07Rik
ENSMUST00000020383.5,Atp8b3-201,ENSMUSG00000003341,Atp8b3
ENSMUST00000107824.8,Zcchc7-203,ENSMUSG00000035649,Zcchc7
ENSMUST00000063138.7,Msl3l2-201,ENSMUSG00000047669,Msl3l2
ENSMUST00000023150.6,1810013L24Rik-201,ENSMUSG00000022507,1810013L24Rik
ENSMUST00000136107.8,Nsd3-202,ENSMUSG00000054823,Nsd3
ENSMUST00000079160.7,Letm2-201,ENSMUSG00000037363,Letm2
ENSMUST00000048116.14,Slc7a1-201,ENSMUSG00000041313,Slc7a1
ENSMUST00000059078.3,Fam43a-201,ENSMUSG00000046546,Fam43a
ENSMUST00000026288.4,Ribc1-201,ENSMUSG00000025257,Ribc1
ENSMUST00000064922.6,Junb-201,ENSMUSG00000052837,Junb
ENSMUST00000065587.4,Ackr3-201,ENSMUSG00000044337,Ackr3
ENSMUST00000225276.1,A530001N23Rik-203,ENSMUSG00000114452,A530001N23Rik
ENSMUST00000021527.14,Prkch-201,ENSMUSG00000021108,Prkch
ENSMUST00000221234.1,Gm32219-201,ENSMUSG00000113302,Gm32219
ENSMUST00000145652.1,Rab11fip4os1-201,ENSMUSG00000087434,Rab11fip4os1
ENSMUST00000211380.1,Gm11175-202,ENSMUSG00000080058,Gm11175
ENSMUST00000045138.5,Gorab-201,ENSMUSG00000040124,Gorab
ENSMUST00000176438.8,Zeb2-212,ENSMUSG00000026872,Zeb2
ENSMUST00000054178.7,Nrip1-201,ENSMUSG00000048490,Nrip1
ENSMUST00000026360.8,Itgb8-201,ENSMUSG00000025321,Itgb8
ENSMUST00000219501.1,Gm33869-201,ENSMUSG00000112358,AC108802.1
ENSMUST00000112188.7,Tceanc-202,ENSMUSG00000051224,Tceanc
ENSMUST00000034713.8,Ldlr-201,ENSMUSG00000032193,Ldlr
ENSMUST00000131221.1,2310058D17Rik-201,ENSMUSG00000085379,2310058D17Rik
ENSMUST00000143275.2,Synpo-209,ENSMUSG00000043079,Synpo
ENSMUST00000061586.10,Zfp507-201,ENSMUSG00000044452,Zfp507
ENSMUST00000187677.1,Gm28321-201,ENSMUSG00000100816,Gm28321
ENSMUST00000021903.2,Gadd45g-201,ENSMUSG00000021453,Gadd45g
ENSMUST00000049836.13,Specc1-201,ENSMUSG00000042331,Specc1
ENSMUST00000039630.5,Ror1-201,ENSMUSG00000035305,Ror1
ENSMUST00000056946.7,Neurl3-201,ENSMUSG00000047180,Neurl3
ENSMUST00000021649.7,Acot2-201,ENSMUSG00000021226,Acot2
ENSMUST00000000641.14,Sema4f-201,ENSMUSG00000000627,Sema4f
ENSMUST00000124336.1,AV099323-201,ENSMUSG00000087377,AV099323
ENSMUST00000212490.1,Gm4316-202,ENSMUSG00000110537,Gm4316
ENSMUST00000234208.1,Gm49984-201,ENSMUSG00000117616,
