1.GeneID,transcript_name,gene_ids,genes_names
ENSMUST00000044507.11,Inpp5j-201,ENSMUSG00000034570,Inpp5j
ENSMUST00000174167.1,Gm4189-202,ENSMUSG00000092384,Gm4189
ENSMUST00000127642.7,Fcnaos-201,ENSMUSG00000052403,Fcnaos
ENSMUST00000207602.1,Gm39043-201,ENSMUSG00000109450,Gm39043
ENSMUST00000183302.5,Dst-213,ENSMUSG00000026131,Dst
ENSMUST00000181103.1,Gm4211-201,ENSMUSG00000097146,Gm4211
ENSMUST00000139701.1,Gm4876-203,ENSMUSG00000054556,Gm4876
ENSMUST00000227086.1,Gpr137c-207,ENSMUSG00000049092,Gpr137c
ENSMUST00000164202.8,Rbm20-203,ENSMUSG00000043639,Rbm20
ENSMUST00000205943.1,Gm44736-201,ENSMUSG00000108550,Gm44736
ENSMUST00000076984.7,1700028I16Rik-201,ENSMUSG00000056821,1700028I16Rik
ENSMUST00000203998.1,Gm38804-201,ENSMUSG00000107640,Gm38804
ENSMUST00000114086.7,Klf7-202,ENSMUSG00000025959,Klf7
ENSMUST00000113734.8,Zbtb21-203,ENSMUSG00000046962,Zbtb21
ENSMUST00000113532.8,Hmcn2-201,ENSMUSG00000055632,Hmcn2
ENSMUST00000129353.1,1700112J05Rik-201,ENSMUSG00000086632,1700112J05Rik
ENSMUST00000073721.6,1700001J03Rik-201,ENSMUSG00000095040,1700001J03Rik
ENSMUST00000097290.3,Lrrc30-201,ENSMUSG00000073375,Lrrc30
ENSMUST00000070872.12,Slc16a6-203,ENSMUSG00000041920,Slc16a6
ENSMUST00000105501.1,Foxo3-202,ENSMUSG00000048756,Foxo3
ENSMUST00000158357.1,Gm25600-201,ENSMUSG00000088982,Gm25600
ENSMUST00000087212.7,Nipal1-201,ENSMUSG00000067219,Nipal1
ENSMUST00000219368.1,Txnrd1-205,ENSMUSG00000020250,Txnrd1
ENSMUST00000180737.1,A930007I19Rik-201,ENSMUSG00000097855,A930007I19Rik
ENSMUST00000009798.4,Oit3-201,ENSMUSG00000009654,Oit3
ENSMUST00000056728.4,Saxo2-201,ENSMUSG00000038570,Saxo2
ENSMUST00000074898.7,Hp-201,ENSMUSG00000031722,Hp
ENSMUST00000210813.1,Tulp2-209,ENSMUSG00000023467,Tulp2
ENSMUST00000181185.1,Gm47512-201,ENSMUSG00000097274,Gm47512
ENSMUST00000225201.1,Gm49064-201,ENSMUSG00000114771,AC163667.1
ENSMUST00000033545.5,Rab39b-201,ENSMUSG00000031202,Rab39b
ENSMUST00000146532.1,Gm13070-201,ENSMUSG00000086767,Gm13070
ENSMUST00000181153.1,Gm26810-201,ENSMUSG00000097817,Gm26810
ENSMUST00000030939.13,Nadk-201,ENSMUSG00000029063,Nadk
ENSMUST00000181220.1,Gm17597-201,ENSMUSG00000097613,Gm17597
ENSMUST00000212119.1,Gm32122-201,ENSMUSG00000110633,Gm32122
ENSMUST00000076333.11,Phldb2-202,ENSMUSG00000033149,Phldb2
ENSMUST00000029297.5,Slc7a11-201,ENSMUSG00000027737,Slc7a11
ENSMUST00000103029.9,Rhbdf2-202,ENSMUSG00000020806,Rhbdf2
ENSMUST00000131801.1,Gm14252-201,ENSMUSG00000085546,Gm14252
ENSMUST00000102969.5,H2ac8-201,ENSMUSG00000069272,Hist1h2ae
ENSMUST00000033049.8,Cox6a2-201,ENSMUSG00000030785,Cox6a2
ENSMUST00000182303.1,Gm27028-201,ENSMUSG00000097970,Gm27028
ENSMUST00000037547.8,Disp2-201,ENSMUSG00000040035,Disp2
ENSMUST00000075190.4,Cdh11-201,ENSMUSG00000031673,Cdh11
ENSMUST00000072133.4,Gm10226-201,ENSMUSG00000067929,Gm10226
ENSMUST00000127263.7,2610035D17Rik-201,ENSMUSG00000087259,2610035D17Rik
ENSMUST00000213976.1,4921534A09Rik-201,ENSMUSG00000110910,4921534A09Rik
ENSMUST00000054080.14,Sinhcaf-201,ENSMUSG00000039985,Fam60a
ENSMUST00000091752.4,H3c3-201,ENSMUSG00000069310,Hist1h3c
ENSMUST00000168666.2,Prr22-201,ENSMUSG00000090273,Prr22
ENSMUST00000033923.13,Dlc1-201,ENSMUSG00000031523,Dlc1
ENSMUST00000197180.5,Cfap47-205,ENSMUSG00000073077,Gm7173
ENSMUST00000144763.1,Ercc6l2-208,ENSMUSG00000021470,Ercc6l2
ENSMUST00000180643.2,2310015A10Rik-201,ENSMUSG00000097729,2310015A10Rik
ENSMUST00000035121.13,Amotl2-201,ENSMUSG00000032531,Amotl2
ENSMUST00000172753.1,Hspa1b-201,ENSMUSG00000090877,Hspa1b
ENSMUST00000153429.1,4933434M16Rik-202,ENSMUSG00000020624,4933434M16Rik
ENSMUST00000209629.1,Gm45629-201,ENSMUSG00000110010,Gm45629
ENSMUST00000162159.7,Lrrc9-206,ENSMUSG00000021090,Lrrc9
ENSMUST00000029947.5,Gabrr1-201,ENSMUSG00000028280,Gabrr1
ENSMUST00000126537.2,5430402O13Rik-201,ENSMUSG00000085776,5430402O13Rik
ENSMUST00000076124.6,Srrm4-201,ENSMUSG00000063919,Srrm4
ENSMUST00000060013.3,Gm6377-201,ENSMUSG00000048621,Gm6377
ENSMUST00000235695.1,Gm50240-201,ENSMUSG00000117725,
ENSMUST00000126265.1,D630024D03Rik-201,ENSMUSG00000085772,D630024D03Rik
ENSMUST00000046689.12,Resf1-201,ENSMUSG00000032712,2810474O19Rik
ENSMUST00000207632.1,Gm44667-201,ENSMUSG00000109539,Gm44667
ENSMUST00000223590.1,Dctn4-202,ENSMUSG00000024603,Dctn4
ENSMUST00000050687.13,Jdp2-201,ENSMUSG00000034271,Jdp2
ENSMUST00000020145.11,Sgk1-201,ENSMUSG00000019970,Sgk1
ENSMUST00000117422.1,Creb3l3-201,ENSMUSG00000035041,Creb3l3
ENSMUST00000103028.7,Rhbdf2-201,ENSMUSG00000020806,Rhbdf2
ENSMUST00000022953.9,Fam135b-201,ENSMUSG00000036800,Fam135b
ENSMUST00000102968.2,H4c4-201,ENSMUSG00000061482,Hist1h4d
ENSMUST00000193444.1,Gm37074-201,ENSMUSG00000103685,Gm37074
ENSMUST00000193775.1,Gm37403-201,ENSMUSG00000103320,Gm37403
ENSMUST00000208263.1,D830036C21Rik-202,ENSMUSG00000108854,D830036C21Rik
ENSMUST00000037964.6,Txlnb-201,ENSMUSG00000039891,Txlnb
ENSMUST00000202361.3,Hsph1-211,ENSMUSG00000029657,Hsph1
ENSMUST00000190341.6,Birc2-204,ENSMUSG00000057367,Birc2
ENSMUST00000031096.10,Klb-201,ENSMUSG00000029195,Klb
ENSMUST00000180981.1,Gm26642-201,ENSMUSG00000097680,Gm26642
ENSMUST00000219670.1,Gm29685-201,ENSMUSG00000112910,Gm29685
ENSMUST00000115286.3,Fam71f2-201,ENSMUSG00000079652,Fam71f2
ENSMUST00000035987.8,Map3k9-201,ENSMUSG00000042724,Map3k9
ENSMUST00000195382.1,Gm38357-201,ENSMUSG00000103313,Gm38357
ENSMUST00000110231.1,Dscc1-202,ENSMUSG00000022422,Dscc1
ENSMUST00000058162.13,Mafg-201,ENSMUSG00000051510,Mafg
ENSMUST00000138007.1,C030037D09Rik-203,ENSMUSG00000087574,C030037D09Rik
ENSMUST00000145068.1,1700047K16Rik-201,ENSMUSG00000087347,1700047K16Rik
ENSMUST00000213019.1,Carmil2-203,ENSMUSG00000050357,Carmil2
ENSMUST00000170711.7,Jade1-204,ENSMUSG00000025764,Jade1
ENSMUST00000196625.1,Gm43691-201,ENSMUSG00000104776,Gm43691
ENSMUST00000131733.1,Gm12981-201,ENSMUSG00000086997,Gm12981
ENSMUST00000207512.1,Gm30873-201,ENSMUSG00000109341,Gm30873
ENSMUST00000071937.6,Kcnj14-201,ENSMUSG00000058743,Kcnj14
ENSMUST00000028307.8,Fcna-201,ENSMUSG00000026938,Fcna
ENSMUST00000210323.1,Gm31812-201,ENSMUSG00000109599,Gm31812
ENSMUST00000027992.2,Enkur-201,ENSMUSG00000026679,Enkur
ENSMUST00000062747.5,Klf17-201,ENSMUSG00000048626,Klf17
ENSMUST00000031840.9,Gpnmb-201,ENSMUSG00000029816,Gpnmb
ENSMUST00000070191.9,Cebpg-201,ENSMUSG00000056216,Cebpg
ENSMUST00000028859.7,Acoxl-201,ENSMUSG00000027380,Acoxl
ENSMUST00000029603.9,Prss12-201,ENSMUSG00000027978,Prss12
ENSMUST00000148335.1,Gm15444-201,ENSMUSG00000086556,Gm15444
ENSMUST00000229695.1,4833415N18Rik-201,ENSMUSG00000115936,AC154509.1
ENSMUST00000043785.7,Stap2-201,ENSMUSG00000038781,Stap2
ENSMUST00000119131.2,Ttc3-202,ENSMUSG00000040785,Ttc3
ENSMUST00000189331.1,Gm28289-201,ENSMUSG00000101014,Gm28289
ENSMUST00000229130.1,Maff-203,ENSMUSG00000042622,Maff
ENSMUST00000230013.1,4930578M01Rik-202,ENSMUSG00000097587,4930578M01Rik
ENSMUST00000051454.3,Fam171b-201,ENSMUSG00000048388,Fam171b
ENSMUST00000092995.5,Myh7b-201,ENSMUSG00000074652,Myh7b
ENSMUST00000181987.7,Arhgef9-209,ENSMUSG00000025656,Arhgef9
ENSMUST00000223648.1,5930438M14Rik-201,ENSMUSG00000114590,5930438M14Rik
ENSMUST00000166395.8,Tgif1-209,ENSMUSG00000047407,Tgif1
ENSMUST00000146049.1,Gm14285-201,ENSMUSG00000087524,Gm14285
ENSMUST00000023291.5,Mapk8ip2-201,ENSMUSG00000022619,Mapk8ip2
ENSMUST00000117798.7,Zfr2-201,ENSMUSG00000034949,Zfr2
ENSMUST00000018382.6,Gdf9-201,ENSMUSG00000018238,Gdf9
ENSMUST00000209852.1,Tmem192-203,ENSMUSG00000025521,Tmem192
ENSMUST00000226435.1,Fam107b-209,ENSMUSG00000026655,Fam107b
ENSMUST00000129764.7,C430049B03Rik-201,ENSMUSG00000087365,C430049B03Rik
ENSMUST00000089634.11,Bcl2l11-202,ENSMUSG00000027381,Bcl2l11
ENSMUST00000028970.7,Mylk2-201,ENSMUSG00000027470,Mylk2
ENSMUST00000037035.11,Ripk2-201,ENSMUSG00000041135,Ripk2
ENSMUST00000224610.1,1700026N04Rik-201,ENSMUSG00000114681,1700026N04Rik
ENSMUST00000191696.1,Gm37694-201,ENSMUSG00000102562,Gm37694
ENSMUST00000010899.13,Cars-201,ENSMUSG00000010755,Cars
ENSMUST00000043400.7,Asprv1-201,ENSMUSG00000033508,Asprv1
ENSMUST00000026133.14,Pycr1-201,ENSMUSG00000025140,Pycr1
ENSMUST00000196840.1,Gm42456-201,ENSMUSG00000105736,Gm42456
ENSMUST00000181094.1,A930012L18Rik-201,ENSMUSG00000097610,A930012L18Rik
ENSMUST00000110473.2,H2bc22-202,ENSMUSG00000069308,Hist1h2bp
ENSMUST00000131064.1,4931415C17Rik-202,ENSMUSG00000054910,4931415C17Rik
ENSMUST00000235809.1,Gm50270-201,ENSMUSG00000117670,
ENSMUST00000216586.1,4930546K05Rik-202,ENSMUSG00000111767,4930546K05Rik
ENSMUST00000067695.7,Usp17la-201,ENSMUSG00000054568,Usp17la
ENSMUST00000165676.1,Gm17024-201,ENSMUSG00000090582,Gm17024
ENSMUST00000094464.9,Casz1-201,ENSMUSG00000028977,Casz1
ENSMUST00000053318.3,Gm5105-201,ENSMUSG00000049349,Gm5105
ENSMUST00000069443.13,Slain1-201,ENSMUSG00000055717,Slain1
ENSMUST00000225200.1,Egr3-204,ENSMUSG00000033730,Egr3
ENSMUST00000108304.8,Gem-202,ENSMUSG00000028214,Gem
ENSMUST00000219499.1,Gm47391-201,ENSMUSG00000112891,Gm47391
ENSMUST00000169385.2,Rai14-202,ENSMUSG00000022246,Rai14
ENSMUST00000026315.7,Dnase1l3-201,ENSMUSG00000025279,Dnase1l3
ENSMUST00000230187.1,Gm41361-201,ENSMUSG00000116125,AC161199.1
ENSMUST00000233466.1,C330011F03Rik-201,ENSMUSG00000117204,
ENSMUST00000186303.6,Gm28557-203,ENSMUSG00000100235,Gm28557
ENSMUST00000122806.1,Gm14302-201,ENSMUSG00000085760,Gm14302
ENSMUST00000049150.7,Styk1-201,ENSMUSG00000032899,Styk1
ENSMUST00000063888.4,Pld4-201,ENSMUSG00000052160,Pld4
ENSMUST00000150455.1,Gm12514-202,ENSMUSG00000087614,Gm12514
ENSMUST00000033611.4,Xkrx-201,ENSMUSG00000031258,Xkrx
ENSMUST00000043313.14,Nmnat2-201,ENSMUSG00000042751,Nmnat2
ENSMUST00000192794.1,Gm37336-201,ENSMUSG00000104520,Gm37336
ENSMUST00000111525.7,Fmo4-202,ENSMUSG00000026692,Fmo4
ENSMUST00000211661.1,Gm45809-201,ENSMUSG00000109708,Gm45809
ENSMUST00000038450.1,4632404H12Rik-201,ENSMUSG00000042579,4632404H12Rik
ENSMUST00000233237.1,Gm35692-201,ENSMUSG00000117139,
ENSMUST00000156187.7,Efcab6-207,ENSMUSG00000022441,Efcab6
ENSMUST00000023356.7,Snai2-201,ENSMUSG00000022676,Snai2
ENSMUST00000093791.9,Cep63-201,ENSMUSG00000032534,Cep63
ENSMUST00000110164.7,Tmem230-203,ENSMUSG00000027341,Tmem230
ENSMUST00000051241.6,Zfp36-201,ENSMUSG00000044786,Zfp36
ENSMUST00000209650.1,Gm45278-201,ENSMUSG00000109847,Gm45278
ENSMUST00000115672.1,Birc3-202,ENSMUSG00000032000,Birc3
ENSMUST00000180682.1,Gm16973-201,ENSMUSG00000097743,Gm16973
ENSMUST00000039331.8,Igsf21-201,ENSMUSG00000040972,Igsf21
ENSMUST00000175911.7,Arhgef2-208,ENSMUSG00000028059,Arhgef2
ENSMUST00000136218.1,C230037L18Rik-201,ENSMUSG00000084915,C230037L18Rik
ENSMUST00000014830.7,Ceacam16-201,ENSMUSG00000014686,Ceacam16
ENSMUST00000219415.1,Gm34776-201,ENSMUSG00000112168,Gm34776
ENSMUST00000049705.7,Zfp457-201,ENSMUSG00000055341,Zfp457
ENSMUST00000090475.9,Ehf-201,ENSMUSG00000012350,Ehf
ENSMUST00000055257.6,Fam89a-201,ENSMUSG00000043068,Fam89a
ENSMUST00000085455.5,Klk1b21-201,ENSMUSG00000066516,Klk1b21
ENSMUST00000168937.7,Mapk6-202,ENSMUSG00000042688,Mapk6
ENSMUST00000033898.9,Col4a1-201,ENSMUSG00000031502,Col4a1
ENSMUST00000094819.4,Zmynd12-201,ENSMUSG00000070806,Zmynd12
ENSMUST00000073713.7,Klk1b24-201,ENSMUSG00000063713,Klk1b24
ENSMUST00000039990.5,P3h2-201,ENSMUSG00000038168,P3h2
ENSMUST00000020161.9,Arg1-201,ENSMUSG00000019987,Arg1
ENSMUST00000118216.7,Acp4-203,ENSMUSG00000012777,Acp4
ENSMUST00000057021.8,Osr1-201,ENSMUSG00000048387,Osr1
ENSMUST00000137742.7,Gm28496-202,ENSMUSG00000101166,Gm28496
ENSMUST00000217087.1,Gm34973-201,ENSMUSG00000111763,Gm34973
ENSMUST00000098441.9,Col6a6-202,ENSMUSG00000043719,Col6a6
ENSMUST00000204406.1,Gm44081-201,ENSMUSG00000108103,Gm44081
ENSMUST00000097896.2,4933427I04Rik-201,ENSMUSG00000073761,4933427I04Rik
ENSMUST00000105031.3,Klhdc7a-201,ENSMUSG00000078234,Klhdc7a
ENSMUST00000070080.5,B4galt6-201,ENSMUSG00000056124,B4galt6
ENSMUST00000225388.1,Kif27-203,ENSMUSG00000060176,Kif27
ENSMUST00000181043.7,9330111N05Rik-202,ENSMUSG00000097098,9330111N05Rik
ENSMUST00000120535.7,Auh-204,ENSMUSG00000021460,Auh
ENSMUST00000066991.6,Adm2-201,ENSMUSG00000054136,Adm2
ENSMUST00000233693.1,Gm49964-201,ENSMUSG00000117337,
ENSMUST00000202307.1,Tbx3os1-206,ENSMUSG00000087516,Tbx3os1
ENSMUST00000150953.1,D030055H07Rik-202,ENSMUSG00000086296,D030055H07Rik
ENSMUST00000115480.7,2610203C22Rik-201,ENSMUSG00000079671,2610203C22Rik
ENSMUST00000073394.2,Usp17ld-201,ENSMUSG00000057321,Usp17ld
ENSMUST00000063463.5,Gm21994-201,ENSMUSG00000074735,Gm21994
ENSMUST00000097448.2,H3f3aos-201,ENSMUSG00000073485,H3f3aos
ENSMUST00000020399.5,Cpm-201,ENSMUSG00000020183,Cpm
ENSMUST00000233428.1,Tnfrsf12a-204,ENSMUSG00000023905,Tnfrsf12a
ENSMUST00000032667.9,Siglece-201,ENSMUSG00000030474,Siglece
ENSMUST00000042468.8,1110032A03Rik-201,ENSMUSG00000037971,1110032A03Rik
ENSMUST00000072286.6,Gm5862-201,ENSMUSG00000067700,Gm5862
ENSMUST00000062206.2,Dynlt4-201,ENSMUSG00000047671,Tctex1d4
ENSMUST00000189404.1,Gm28151-201,ENSMUSG00000100213,Gm28151
ENSMUST00000224625.1,Fdft1-204,ENSMUSG00000021273,Fdft1
ENSMUST00000000573.8,Ovgp1-201,ENSMUSG00000074340,Ovgp1
ENSMUST00000177434.2,Lekr1-206,ENSMUSG00000074579,Lekr1
ENSMUST00000198159.1,1700016F12Rik-201,ENSMUSG00000104955,1700016F12Rik
ENSMUST00000070203.13,Sh3tc1-201,ENSMUSG00000036553,Sh3tc1
ENSMUST00000109570.7,Aar2-202,ENSMUSG00000027628,Aar2
ENSMUST00000220118.1,Gm47073-201,ENSMUSG00000112889,Gm47073
ENSMUST00000213323.1,Olfr1393-202,ENSMUSG00000059864,Olfr1393
ENSMUST00000237370.1,Gm31356-201,ENSMUSG00000118099,
ENSMUST00000175717.1,B130034C11Rik-201,ENSMUSG00000093606,B130034C11Rik
ENSMUST00000064330.12,Tmem209-201,ENSMUSG00000029782,Tmem209
ENSMUST00000025861.2,Ovol1-201,ENSMUSG00000024922,Ovol1
ENSMUST00000187401.1,Gm9947-202,ENSMUSG00000054493,Gm9947
ENSMUST00000217520.1,Gm48069-201,ENSMUSG00000111547,Gm48069
ENSMUST00000198455.1,0610040B10Rik-203,ENSMUSG00000089889,0610040B10Rik
ENSMUST00000088313.4,Emd-202,ENSMUSG00000001964,Emd
ENSMUST00000233006.1,Gm41556-202,ENSMUSG00000117007,
ENSMUST00000181897.1,Gm10827-201,ENSMUSG00000096977,Gm10827
ENSMUST00000226519.1,Pck2-207,ENSMUSG00000040618,Pck2
ENSMUST00000075869.12,Fbxo40-201,ENSMUSG00000047746,Fbxo40
ENSMUST00000069805.13,Atp8b2-201,ENSMUSG00000060671,Atp8b2
ENSMUST00000109352.7,Sys1-202,ENSMUSG00000045503,Sys1
ENSMUST00000224047.1,Mbd1-202,ENSMUSG00000024561,Mbd1
ENSMUST00000192133.1,Gm37019-201,ENSMUSG00000102953,Gm37019
ENSMUST00000197982.1,Gm4961-201,ENSMUSG00000104667,Gm4961
ENSMUST00000204118.1,Gm44186-201,ENSMUSG00000107460,Gm44186
ENSMUST00000177363.1,Gm20628-201,ENSMUSG00000093656,Gm20628
ENSMUST00000191710.1,Gm38124-201,ENSMUSG00000103082,Gm38124
ENSMUST00000120654.7,Csf1-204,ENSMUSG00000014599,Csf1
ENSMUST00000181710.2,1110002J07Rik-201,ENSMUSG00000097134,1110002J07Rik
ENSMUST00000169630.7,Mrgbp-206,ENSMUSG00000027569,Mrgbp
ENSMUST00000056113.4,Acer1-201,ENSMUSG00000045019,Acer1
ENSMUST00000225083.1,Gm43305-202,ENSMUSG00000105703,Gm43305
ENSMUST00000238490.1,0,0,0
ENSMUST00000025025.6,Dusp1-202,ENSMUSG00000024190,Dusp1
ENSMUST00000090726.5,Slc43a3-201,ENSMUSG00000027074,Slc43a3
ENSMUST00000236516.1,Gm50323-201,ENSMUSG00000117900,
ENSMUST00000108035.7,Ccl27a-204,ENSMUSG00000073888,Ccl27a
ENSMUST00000106180.1,Mafg-202,ENSMUSG00000051510,Mafg
ENSMUST00000138288.1,Gm14455-201,ENSMUSG00000087633,Gm14455
ENSMUST00000069000.8,Parp16-201,ENSMUSG00000032392,Parp16
ENSMUST00000163226.7,Camk2d-216,ENSMUSG00000053819,Camk2d
ENSMUST00000129546.2,Hotairm1-201,ENSMUSG00000087658,Hotairm1
ENSMUST00000017751.2,Tns4-201,ENSMUSG00000017607,Tns4
ENSMUST00000036355.12,Phldb2-201,ENSMUSG00000033149,Phldb2
ENSMUST00000116614.2,Tesl1-201,ENSMUSG00000068113,Gm4907
ENSMUST00000026452.2,Pde6g-201,ENSMUSG00000025386,Pde6g
ENSMUST00000103416.8,Ighg2c-201,ENSMUSG00000076612,Ighg2c
ENSMUST00000228865.1,Gm19510-201,ENSMUSG00000115426,AC129931.1
ENSMUST00000180519.1,F630040K05Rik-201,ENSMUSG00000097727,F630040K05Rik
ENSMUST00000180728.1,Gm26877-201,ENSMUSG00000097373,Gm26877
ENSMUST00000063192.14,Tmem150c-201,ENSMUSG00000050640,Tmem150c
ENSMUST00000123644.2,Gm15510-201,ENSMUSG00000086604,Gm15510
ENSMUST00000136382.1,Gm15343-201,ENSMUSG00000085468,Gm15343
ENSMUST00000032479.10,Pianp-201,ENSMUSG00000030329,Pianp
ENSMUST00000094111.5,Cyp3a41a-201,ENSMUSG00000075551,Cyp3a41a
ENSMUST00000024774.13,Guca1b-201,ENSMUSG00000023979,Guca1b
ENSMUST00000092931.6,Gm4952-201,ENSMUSG00000071633,Gm4952
ENSMUST00000134066.7,BC065397-203,ENSMUSG00000087368,BC065397
ENSMUST00000153786.1,Gm15767-202,ENSMUSG00000086021,Gm15767
ENSMUST00000061986.11,Shb-201,ENSMUSG00000044813,Shb
ENSMUST00000123663.1,Gm13707-201,ENSMUSG00000085768,Gm13707
ENSMUST00000035622.7,Wdr93-201,ENSMUSG00000039099,Wdr93
ENSMUST00000141916.7,Dhcr7-207,ENSMUSG00000058454,Dhcr7
ENSMUST00000163663.2,Dlc1-206,ENSMUSG00000031523,Dlc1
ENSMUST00000197311.1,Dmrt1i-203,ENSMUSG00000104600,Dmrt1i
ENSMUST00000020617.2,Flt4-201,ENSMUSG00000020357,Flt4
ENSMUST00000055327.7,Aqp3-201,ENSMUSG00000028435,Aqp3
ENSMUST00000028836.6,Bmp2-201,ENSMUSG00000027358,Bmp2
ENSMUST00000091703.2,H3c2-201,ENSMUSG00000069267,Hist1h3b
ENSMUST00000196791.1,4930592C13Rik-201,ENSMUSG00000105834,4930592C13Rik
ENSMUST00000110461.7,Hif1a-202,ENSMUSG00000021109,Hif1a
ENSMUST00000177761.7,Wnk1-223,ENSMUSG00000045962,Wnk1
ENSMUST00000169459.3,Pdzd7-203,ENSMUSG00000074818,Pdzd7
ENSMUST00000065950.9,BC049762-202,ENSMUSG00000045942,BC049762
ENSMUST00000201452.3,Hsph1-205,ENSMUSG00000029657,Hsph1
ENSMUST00000221427.1,Gm15283-202,ENSMUSG00000087700,Gm15283
ENSMUST00000041388.10,Serpine1-201,ENSMUSG00000037411,Serpine1
ENSMUST00000191112.1,Gm13283-201,ENSMUSG00000100505,Gm13283
ENSMUST00000153476.7,Aanat-205,ENSMUSG00000020804,Aanat
ENSMUST00000210776.1,Gm45518-201,ENSMUSG00000110368,Gm45518
ENSMUST00000039388.2,Arl4d-201,ENSMUSG00000034936,Arl4d
ENSMUST00000057054.7,Meox1-201,ENSMUSG00000001493,Meox1
ENSMUST00000008016.2,Id3-201,ENSMUSG00000007872,Id3
ENSMUST00000097474.8,Rcsd1-202,ENSMUSG00000040723,Rcsd1
ENSMUST00000219852.1,Gm36172-201,ENSMUSG00000112758,Gm36172
ENSMUST00000041973.6,Cmtm2b-201,ENSMUSG00000035785,Cmtm2b
ENSMUST00000030047.2,Tnfsf8-201,ENSMUSG00000028362,Tnfsf8
ENSMUST00000166170.8,Nell2-202,ENSMUSG00000022454,Nell2
ENSMUST00000196449.4,Vcam1-203,ENSMUSG00000027962,Vcam1
ENSMUST00000127521.1,5730405O15Rik-201,ENSMUSG00000087424,5730405O15Rik
ENSMUST00000133884.7,Gm12655-202,ENSMUSG00000087128,Gm12655
ENSMUST00000196949.1,Gm43729-201,ENSMUSG00000105104,Gm43729
ENSMUST00000193036.1,Gm38227-201,ENSMUSG00000103940,Gm38227
ENSMUST00000212248.1,Gm45895-201,ENSMUSG00000110634,Gm45895
ENSMUST00000079859.6,Klk1b27-201,ENSMUSG00000063177,Klk1b27
ENSMUST00000059352.2,Lmod1-201,ENSMUSG00000048096,Lmod1
ENSMUST00000139827.7,1700034H15Rik-202,ENSMUSG00000055833,1700034H15Rik
ENSMUST00000026635.7,Farp1-201,ENSMUSG00000025555,Farp1
ENSMUST00000173837.5,Magohb-205,ENSMUSG00000030188,Magohb
ENSMUST00000189435.1,1700010B13Rik-202,ENSMUSG00000099958,1700010B13Rik
ENSMUST00000050958.8,Tmie-201,ENSMUSG00000049555,Tmie
ENSMUST00000210575.1,Gm45424-201,ENSMUSG00000110341,Gm45424
ENSMUST00000024725.4,Efhb-201,ENSMUSG00000023931,Efhb
ENSMUST00000190732.1,Gm29050-201,ENSMUSG00000101133,Gm29050
ENSMUST00000225058.1,Gm47920-201,ENSMUSG00000114709,Gm47920
ENSMUST00000001184.9,Mxd1-201,ENSMUSG00000001156,Mxd1
ENSMUST00000195764.1,Pcdhgb8-201,ENSMUSG00000103081,Pcdhgb8
ENSMUST00000157433.1,Gm26153-201,ENSMUSG00000088058,Gm26153
ENSMUST00000195683.1,Gm30948-201,ENSMUSG00000103168,Gm30948
ENSMUST00000109494.7,Homer1-207,ENSMUSG00000007617,Homer1
ENSMUST00000207575.2,Gm45030-201,ENSMUSG00000109338,Gm45030
ENSMUST00000180491.1,6430562O15Rik-201,ENSMUSG00000097828,6430562O15Rik
ENSMUST00000189899.1,Gm29040-201,ENSMUSG00000099576,Gm29040
ENSMUST00000219015.1,1300014J16Rik-201,ENSMUSG00000112545,1300014J16Rik
ENSMUST00000167457.7,Zfp426-210,ENSMUSG00000059475,Zfp426
ENSMUST00000195877.1,Gm37125-201,ENSMUSG00000104351,Gm37125
ENSMUST00000217388.1,1700019L13Rik-202,ENSMUSG00000111639,AC117245.2
ENSMUST00000135987.1,Gm12511-201,ENSMUSG00000066176,Gm12511
ENSMUST00000060128.6,Cldn23-201,ENSMUSG00000055976,Cldn23
ENSMUST00000205319.1,Gm40457-201,ENSMUSG00000108626,Gm40457
ENSMUST00000042861.6,Stx11-201,ENSMUSG00000039232,Stx11
ENSMUST00000145165.7,Gm49320-201,ENSMUSG00000109061,Map2k7
ENSMUST00000035234.5,1700102P08Rik-201,ENSMUSG00000032611,1700102P08Rik
ENSMUST00000081636.12,Prkag3-201,ENSMUSG00000006542,Prkag3
ENSMUST00000236346.1,Atp6v0e-204,ENSMUSG00000015575,Atp6v0e
ENSMUST00000230234.1,Gm49539-201,ENSMUSG00000116004,AC162302.1
ENSMUST00000074148.6,Gm7361-201,ENSMUSG00000059645,Gm7361
ENSMUST00000081342.6,H2ac24-201,ENSMUSG00000094777,Hist1h2ap
ENSMUST00000180445.2,9330175E14Rik-201,ENSMUSG00000097194,9330175E14Rik
ENSMUST00000138528.2,Gm13483-202,ENSMUSG00000085862,Gm13483
ENSMUST00000200447.1,Gm21680-201,ENSMUSG00000106627,Gm21680
ENSMUST00000156293.7,BC018473-204,ENSMUSG00000056032,BC018473
ENSMUST00000113440.1,Ccdc88b-201,ENSMUSG00000047810,Ccdc88b
ENSMUST00000032402.11,Bcat1-201,ENSMUSG00000030268,Bcat1
ENSMUST00000025850.6,Fosl1-201,ENSMUSG00000024912,Fosl1
ENSMUST00000029188.7,Ccn5-201,ENSMUSG00000027656,Wisp2
ENSMUST00000039016.13,Lzts2-201,ENSMUSG00000035342,Lzts2
ENSMUST00000230175.1,D730005E14Rik-201,ENSMUSG00000115902,AC113595.1
ENSMUST00000146150.2,Gpr137c-201,ENSMUSG00000049092,Gpr137c
