Target_genes,Score
Prss58,173.534884
Moxd2,173.534884
Syngap1,173.44186000000002
Phf1,173.44186000000002
Cuta,173.44186000000002
Tgfbi,172.825581
Tmem70,172.790698
Eloc,172.790698
Tpi1,172.77907
Spsb2,172.77907
Get4,172.395349
Utp23,171.767442
Ssbp4,171.697674
Mbd6,171.686047
Il1r1,171.523256
Agfg1,171.302326
Usp53,171.267442
Dusp1,171.081395
Mknk2,170.77907
Ddit3,170.546512
Fgr,170.406977
Entpd3,170.325581
Rpl7a,169.802326
Med22,169.802326
Zfp473,169.732558
Vrk3,169.732558
Ddx19b,169.674419
Aars,169.674419
Bet1,169.627907
Map3k5,169.418605
Septin9,169.36046499999998
Zbp1,168.848837
Tmprss6,168.686047
Srsf2,168.488372
Gm17359,168.290698
Ankhd1,168.197674
Ppme1,168.06976699999998
C2cd3,168.06976699999998
H4c14,167.872093
H3c13,167.872093
H2bc18,167.872093
Orc3,167.732558
Poldip3,167.581395
Srsf7,167.465116
Fam102a,167.465116
Esrp2,167.348837
Mfsd11,167.255814
Atp5g1,167.255814
Ctdsp1,166.616279
Amacr,166.383721
Ube2l3,166.348837
Rimbp3,166.348837
Relb,165.77907
Il21,165.616279
Rpl3,165.55813999999998
Psen2,164.883721
H2-DMa,164.790698
Mettl23,164.337209
Jmjd6,164.337209
Csrnp1,164.244186
Tpt1,164.034884
Gnpda2,164.011628
Tvp23a,163.883721
Dnajc13,163.534884
Spaca6,163.476744
Xrcc6,163.383721
Desi1,163.383721
9530077C05Rik,163.383721
Brd2,163.13953500000002
Il4ra,162.837209
Lrp8,162.790698
Nabp1,162.302326
Nfat5,161.837209
Cd81,161.697674
Rdh5,161.534884
Ndufaf3,161.325581
Impdh2,161.325581
Dalrd3,161.325581
Ttc39d,160.56976699999998
Itga3,160.476744
Rbm12,160.255814
Cpne1,160.255814
Emc9,160.104651
Gtf2h3,159.55813999999998
Eif2b1,159.55813999999998
Gramd1a,159.534884
Sf3a3,159.162791
Foxp1,159.151163
Map2k4,159.093023
Surf2,158.953488
Surf1,158.953488
Jun,158.348837
Rab6a,158.267442
Spata25,158.186047
Neurl2,158.186047
Ctsa,158.186047
Plec,158.151163
Gtf2b,158.023256
Polr3d,158.011628
Piwil2,158.011628
R3hdm4,157.813953
Kiss1r,157.813953
Slc7a5,157.686047
BC048644,157.686047
Ncoa3,157.55813999999998
Tmem107,157.523256
Hmox1,157.43023300000002
Zfp791,157.05813999999998
Fhl3,157.023256
Esr1,157.0
Ccdc63,156.534884
H4c9,156.255814
H2bc11,156.255814
H2ac11,156.255814
Zc3h10,156.127907
Rpl41,156.127907
Ing1,156.127907
Cars2,156.127907
Trim7,155.906977
Gsdma,155.872093
Zfyve1,155.72093
Kbtbd11,155.244186
Trappc4,155.209302
Rps25,155.209302
Pnpt1,155.05813999999998
Sqstm1,154.953488
Ezh2,154.906977
Bzw2,154.767442
Ankmy2,154.767442
Bahcc1,154.709302
Csf2ra,154.581395
Jmjd1c,154.395349
Susd3,154.27907
Ddr1,154.255814
Trim41,154.0
Actb,153.86046499999998
Zbtb37,153.825581
Btf3,153.825581
Hnrnpr,153.197674
Fyb,152.790698
Wdr92,152.732558
Pno1,152.732558
Ilrun,152.686047
Ppp3cc,152.616279
Arrdc2,152.523256
Ppp1r12a,152.395349
Cdk19,152.22093
Flot2,152.174419
Dhrs13,152.174419
C1d,152.093023
Ppp3r1,152.06976699999998
Ddx59,152.023256
Paqr8,151.918605
H1f2,151.453488
H4c12,151.406977
H2bc15,151.406977
H2ac15,151.406977
Vwa5a,151.36046499999998
Zar1l,151.337209
Brca2,151.337209
Casp6,151.244186
Noc4l,151.081395
Ddx51,151.081395
Kif2c,151.034884
H2aj,150.848837
Rps19bp1,150.581395
Atf4,150.581395
Snf8,150.534884
Hnrnph2,150.523256
Gla,150.523256
Gimap4,150.36046499999998
Gtf3c6,150.05813999999998
Ablim1,149.965116
Npepps,149.44186000000002
Jak2,149.395349
Cd82,149.244186
Hmbs,149.186047
Lipe,149.116279
H4f16,149.034884
Hk2,149.0
Dthd1,148.651163
Rnf31,148.616279
Psme2,148.616279
Mettl21a,148.313953
Cyth4,148.313953
Fam104a,148.302326
D11Wsu47e,148.302326
H2bc12,148.232558
H2ac12,148.232558
Rnf38,148.13953500000002
Necap2,148.13953500000002
Lasp1,148.011628
Tspan14,147.988372
Ntsr2,147.93023300000002
Lpp,147.72093
H3c3,147.5
H2bc3,147.5
H2ax,147.465116
Ttpal,147.162791
Id2,147.06976699999998
Txn2,147.011628
Fus,146.895349
Tmem95,146.872093
