transcript_ids,transcript_names,gene_ids,genes_names
ENSMUST00000132233.1,Cox7c-204,ENSMUSG00000017778,Cox7c
ENSMUST00000052281.5,Epop-201,ENSMUSG00000043439,Epop
ENSMUST00000193823.1,Tbc1d8-204,ENSMUSG00000003134,Tbc1d8
ENSMUST00000080898.3,Amd2-201,ENSMUSG00000063953,Amd2
ENSMUST00000136327.1,Hmgn2-208,ENSMUSG00000003038,Hmgn2
ENSMUST00000163245.1,Gm20507-201,ENSMUSG00000092412,Gm20507
ENSMUST00000218183.1,Bcl9l-203,ENSMUSG00000063382,Bcl9l
ENSMUST00000178021.1,Ifitm7-202,ENSMUSG00000065968,Ifitm7
ENSMUST00000106676.7,Prkar1a-202,ENSMUSG00000020612,Prkar1a
ENSMUST00000208551.1,Med25-211,ENSMUSG00000002968,Med25
ENSMUST00000206154.1,Vamp5-203,ENSMUSG00000073002,Vamp5
ENSMUST00000235839.1,Gm50322-201,ENSMUSG00000118138,Gm50322
ENSMUST00000044138.7,Chst7-201,ENSMUSG00000037347,Chst7
ENSMUST00000123589.7,Zfp606-202,ENSMUSG00000030386,Zfp606
ENSMUST00000091420.5,Skida1-202,ENSMUSG00000054074,Skida1
ENSMUST00000208201.1,Gm45867-201,ENSMUSG00000109243,Gm45867
ENSMUST00000117355.1,Psmd4-203,ENSMUSG00000005625,Psmd4
ENSMUST00000100022.3,Pitpnm1-202,ENSMUSG00000024851,Pitpnm1
ENSMUST00000107413.1,Pygo2-202,ENSMUSG00000047824,Pygo2
ENSMUST00000109558.1,Ndrg3-203,ENSMUSG00000027634,Ndrg3
ENSMUST00000229160.1,Phf20l1-203,ENSMUSG00000072501,Phf20l1
ENSMUST00000065112.6,Adamts15-201,ENSMUSG00000033453,Adamts15
ENSMUST00000114758.8,Mapk14-205,ENSMUSG00000053436,Mapk14
ENSMUST00000119818.7,Vezt-204,ENSMUSG00000036099,Vezt
ENSMUST00000056962.10,Ccdc74a-201,ENSMUSG00000041617,Ccdc74a
